app_name,vector,is_ransom,entr_r,entr_w,ext_r_cnt,ext_w_cnt,fids_c,fids_d,fids_r,fids_rn,fids_w,fids_ch,ext_ch_cnt,mouvedout,pids,ext_w_docs,ext_w_data,ext_w_db,ext_w_code,ext_w_exe,dir_files_c,dir_files_ch,exe_exists,test_set,sample_id
C:\Users\Damien\Desktop\VirusShare_96fe33caa7c173b729a353fc4a10c4b0.exe,1,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,1,FALSE,1
C:\Users\Damien\Desktop\VirusShare_96fe33caa7c173b729a353fc4a10c4b0.exe,2,TRUE,7,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,9,0,0,0,1,FALSE,1
C:\Users\Damien\Desktop\VirusShare_96fe33caa7c173b729a353fc4a10c4b0.exe,3,TRUE,7,0,3,0,0,0,7,0,0,0,0,0,2,0,0,0,93,0,0,0,1,FALSE,1
C:\Users\Damien\Desktop\VirusShare_96fe33caa7c173b729a353fc4a10c4b0.exe,4,TRUE,7,0,4,0,2,1,12,0,0,0,0,1,2,0,0,0,178,0,1,0,1,FALSE,1
C:\Users\Damien\Desktop\VirusShare_96fe33caa7c173b729a353fc4a10c4b0.exe,5,TRUE,7,3,4,1,2,1,16,0,1,0,0,1,2,0,0,0,202,0,1,0,1,FALSE,1
C:\Users\Damien\Desktop\VirusShare_96fe33caa7c173b729a353fc4a10c4b0.exe,6,TRUE,7,6,4,1,2,1,16,0,1,0,0,1,2,0,0,0,202,0,1,0,1,FALSE,1
C:\Users\Damien\Desktop\VirusShare_96fe33caa7c173b729a353fc4a10c4b0.exe,7,TRUE,7,6,4,1,2,1,16,0,1,0,0,1,2,0,0,0,204,0,1,0,1,FALSE,1
C:\Users\Damien\Desktop\VirusShare_96fe33caa7c173b729a353fc4a10c4b0.exe,8,TRUE,7,6,4,2,4,2,17,0,2,0,0,2,2,0,0,0,230,0,1,0,1,FALSE,1
C:\Users\Damien\Desktop\VirusShare_96fe33caa7c173b729a353fc4a10c4b0.exe,9,TRUE,7,6,4,2,4,2,17,0,2,0,0,2,2,0,0,0,232,0,1,0,1,FALSE,1
C:\Users\Damien\Desktop\VirusShare_96fe33caa7c173b729a353fc4a10c4b0.exe,10,TRUE,7,6,4,2,6,3,18,0,3,0,0,3,2,2,0,0,248,0,1,0,1,FALSE,1
C:\Users\Damien\Desktop\VirusShare_96fe33caa7c173b729a353fc4a10c4b0.exe,1,TRUE,7,6,4,2,6,3,20,0,3,0,0,3,2,4,0,0,264,0,1,0,1,FALSE,1
C:\Users\Damien\Desktop\VirusShare_96fe33caa7c173b729a353fc4a10c4b0.exe,2,TRUE,7,6,4,2,6,3,20,0,3,0,0,3,2,4,0,0,266,0,1,0,1,FALSE,1
C:\Users\Damien\Desktop\VirusShare_96fe33caa7c173b729a353fc4a10c4b0.exe,3,TRUE,7,6,4,2,6,3,20,0,3,0,0,3,2,4,0,0,266,0,1,0,1,FALSE,1
C:\Users\Damien\Desktop\VirusShare_96fe33caa7c173b729a353fc4a10c4b0.exe,4,TRUE,7,6,4,2,6,3,21,0,3,0,0,3,2,4,0,0,268,0,1,0,1,FALSE,1
C:\Users\Damien\Desktop\VirusShare_96fe33caa7c173b729a353fc4a10c4b0.exe,5,TRUE,7,6,4,2,6,3,21,0,3,0,0,3,2,4,0,0,274,0,1,0,1,FALSE,1
C:\Users\Damien\Desktop\VirusShare_96fe33caa7c173b729a353fc4a10c4b0.exe,6,TRUE,7,6,4,2,6,3,22,0,3,0,0,3,2,4,0,0,278,0,1,0,1,FALSE,1
C:\Users\Damien\Desktop\VirusShare_96fe33caa7c173b729a353fc4a10c4b0.exe,7,TRUE,7,6,4,2,6,3,23,0,3,0,0,3,2,4,0,0,298,0,1,0,1,FALSE,1
C:\Users\Damien\Desktop\VirusShare_96fe33caa7c173b729a353fc4a10c4b0.exe,8,TRUE,7,6,4,2,6,3,23,0,3,0,0,3,2,4,0,0,314,0,1,0,1,FALSE,1
C:\Users\Damien\Desktop\VirusShare_96fe33caa7c173b729a353fc4a10c4b0.exe,9,TRUE,7,6,4,3,7,3,23,0,4,0,0,3,2,4,0,0,322,0,2,0,1,FALSE,1
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,1,TRUE,6,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,24,0,0,0,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,2,TRUE,6,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,24,0,0,0,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,3,TRUE,6,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,28,0,0,0,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,4,TRUE,6,0,2,0,1,0,2,0,0,0,0,0,1,0,0,0,32,0,1,0,1,FALSE,2
